Scientific_Name,Duration,Active_Growth_Period,Foliage_Color,pH_Min,pH_Max,Precip_Min,Precip_Max,Shade_Tolerance,Temp_Min_F
Agrostis elliottiana,Annual,,,,,,,,
Agrostis gigantea,Perennial,Spring and Summer,Green,4.5,8,28,60,Intolerant,-38
Agrostis hyemalis,Perennial,"Spring, Summer, Fall",Green,5,7.5,20,45,Intermediate,-33
Agrostis perennans,Perennial,"Spring, Summer, Fall",Green,5.5,7.5,32,56,Intermediate,-33
Agrostis scabra,Perennial,Spring,Green,6,8,14,60,Intolerant,-38
Agrostis stolonifera,Perennial,Spring and Summer,Green,5.1,7.5,32,60,Intolerant,-53
Ailanthus,,,,,,,,,
Ailanthus altissima,Perennial,Spring and Summer,Green,4.1,7.9,14,90,Intolerant,-18
Aira,,,,,,,,,
Aira caryophyllea,Annual,,,,,,,,
Aira caryophyllea var. caryophyllea,Annual,,,,,,,,
Aira elegans,Annual,,,,,,,,
Aira praecox,Annual,,,,,,,,
Ajuga,,,,,,,,,
Ajuga chamaepitys,Annual,,,,,,,,
Ajuga genevensis,Perennial,,,,,,,,
Ajuga reptans,Perennial,"Spring, Summer, Fall",Green,5.5,7.5,35,65,Tolerant,-23
Akebia,,,,,,,,,
Akebia quinata,Perennial,,,,,,,,
Albizia,,,,,,,,,
Albizia julibrissin,Perennial,Spring and Summer,White-Gray,4.8,7.3,30,60,Intolerant,2
Alcea,,,,,,,,,
Alcea rosea,"Biennial, Perennial",,,,,,,,
Aletris,,,,,,,,,
Aletris aurea,Perennial,,,,,,,,
Aletris farinosa,Perennial,,,,,,,,
Alisma,,,,,,,,,
Alisma subcordatum,Perennial,Spring and Summer,Green,5,7,35,60,Intolerant,-33
Alisma triviale,Perennial,,,,,,,,
Alliaria,,,,,,,,,
Alliaria petiolata,"Annual, Biennial",,,,,,,,
Allium,,,,,,,,,
Allium canadense,Perennial,,,,,,,,
Allium canadense var. canadense,Perennial,,,,,,,,
Allium cernuum,Perennial,,,,,,,,
Allium cernuum var. cernuum,Perennial,,,,,,,,
Allium sativum,Perennial,,,,,,,,
Allium schoenoprasum,Perennial,,,,,,,,
Allium schoenoprasum var. sibiricum,Perennial,,,,,,,,
Allium tricoccum,Perennial,,,,,,,,
Allium vineale,Perennial,,,,,,,,
Allium vineale ssp. vineale,Perennial,,,,,,,,
Alloteropsis,,,,,,,,,
Alloteropsis cimicina,Annual,,,,,,,,
Alnus,,,,,,,,,
Alnus incana,Perennial,Spring and Summer,Green,5,7,32,60,Intermediate,-33
Alnus incana ssp. rugosa,Perennial,Spring and Summer,Dark Green,4.8,7.7,21,65,Intermediate,-47
Alnus maritima,Perennial,Spring and Summer,Green,5,7,36,50,Intermediate,2
Alnus serrulata,Perennial,Spring and Summer,Green,5,7,32,60,Intolerant,-23
Alopecurus,,,,,,,,,
Alopecurus aequalis,Perennial,Spring and Summer,Green,5.5,8,18,45,Intermediate,-38
Alopecurus aequalis var. aequalis,Perennial,,,,,,,,
Alopecurus carolinianus,Annual,Spring,Green,4,7.5,15,60,Intolerant,-43
Alopecurus geniculatus,Perennial,Spring,Green,4,7.5,20,45,Intolerant,-43
Alopecurus geniculatus var. geniculatus,Perennial,,,,,,,,
Alopecurus myosuroides,Annual,Spring,Green,4,7.5,35,55,Intolerant,-28
Alopecurus pratensis,Perennial,Spring and Summer,Green,5.8,8,18,60,Intolerant,-38
Alternanthera,,,,,,,,,
Alternanthera bettzichiana,Perennial,,,,,,,,
Alternanthera caracasana,Perennial,,,,,,,,
Alternanthera ficoidea,Perennial,,,,,,,,
Alternanthera sessilis,"Annual, Perennial",,,,,,,,
Althaea,,,,,,,,,
Althaea officinalis,Perennial,,,,,,,,
Alyssum,,,,,,,,,
Alyssum alyssoides,"Annual, Biennial",,,,,,,,
Amaranthus,,,,,,,,,
Amaranthus albus,Annual,,,,,,,,
Amaranthus blitoides,Annual,,,,,,,,
Amaranthus blitum,Annual,,,,,,,,
Amaranthus blitum var. emarginatus,Annual,,,,,,,,
Amaranthus cannabinus,Perennial,,,,,,,,
Amaranthus cruentus,Annual,,,,,,,,
Amaranthus deflexus,Annual,,,,,,,,
Amaranthus hybridus,Annual,,,,,,,,
Amaranthus palmeri,Annual,,,,,,,,
Amaranthus pumilus,Annual,,,,,,,,
Amaranthus retroflexus,Annual,,,,,,,,
Amaranthus spinosus,Annual,,,,,,,,
Ambrosia,,,,,,,,,
Ambrosia artemisiifolia,Annual,,,,,,,,
Ambrosia artemisiifolia var. elatior,Annual,,,,,,,,
Ambrosia bidentata,Annual,,,,,,,,
Ambrosia trifida,Annual,,,,,,,,
Ambrosia trifida var. trifida,Annual,,,,,,,,
Amelanchier,,,,,,,,,
Amelanchier arborea,Perennial,Spring and Summer,Dark Green,4.8,7.5,26,80,Tolerant,-47
Amelanchier arborea var. arborea,Perennial,,,,,,,,
Amelanchier canadensis,Perennial,Spring and Summer,Green,5.5,7.5,30,60,Intermediate,-33
Amelanchier humilis,Perennial,,,,,,,,
Amelanchier ?intermedia,Perennial,,,,,,,,
Amelanchier laevis,Perennial,Spring and Summer,Green,4.8,7,34,60,Tolerant,-38
Amelanchier nantucketensis,Perennial,,,,,,,,
Amelanchier obovalis,Perennial,Spring,Dark Green,5,7,30,90,Intolerant,-23
Amelanchier sanguinea,Perennial,Spring and Summer,Green,4.5,7.2,35,55,Tolerant,-43
Amelanchier sanguinea var. sanguinea,Perennial,,,,,,,,
Amelanchier stolonifera,Perennial,,,,,,,,
Amianthium,,,,,,,,,
Amianthium muscitoxicum,Perennial,,,,,,,,
Ammannia,,,,,,,,,
Ammannia coccinea,Annual,Spring,Green,4,5.9,16,60,Intolerant,-38
Ammannia latifolia,Annual,,,,,,,,
Ammophila,,,,,,,,,
Ammophila arenaria,Perennial,Spring and Fall,Green,6,8.5,30,60,Intolerant,7
Ammophila breviligulata,Perennial,"Spring, Summer, Fall",Green,5.8,7.8,35,60,Intolerant,-28
Amorpha,,,,,,,,,
Amorpha fruticosa,Perennial,Spring and Summer,Green,5,8.5,10,65,Intolerant,-38
Ampelopsis,,,,,,,,,
Ampelopsis arborea,Perennial,Summer,Green,4,8,35,60,Tolerant,-13
Ampelopsis brevipedunculata,Perennial,,,,,,,,
Ampelopsis cordata,Perennial,Spring and Summer,Green,5.2,7.4,32,60,Tolerant,-8
Amphicarpaea,,,,,,,,,
Amphicarpaea bracteata,"Annual, Perennial",,,,,,,,
Amphicarpaea bracteata var. bracteata,"Annual, Perennial",,,,,,,,
Amphicarpaea bracteata var. comosa,"Annual, Perennial",,,,,,,,
Amphicarpum,,,,,,,,,
Amphicarpum purshii,"Annual, Perennial",,,,,,,,
Amsonia,,,,,,,,,
Amsonia tabernaemontana,Perennial,,,,,,,,
Amsonia tabernaemontana var. tabernaemontana,Perennial,,,,,,,,
Anagallis,,,,,,,,,
Anagallis arvensis,"Annual, Biennial",,,,,,,,
Anagallis arvensis ssp. arvensis,"Annual, Biennial",,,,,,,,
Anagallis minima,Annual,,,,,,,,
Anaphalis,,,,,,,,,
Anaphalis margaritacea,Perennial,Spring and Summer,Green,6,7.5,10,35,Intermediate,-43
Anchusa,,,,,,,,,
Anchusa arvensis,Annual,,,,,,,,
Anchusa azurea,Perennial,,,,,,,,
Andropogon,,,,,,,,,
Andropogon gerardii,Perennial,Summer,Green,6,7.5,12,55,Intolerant,-46
Andropogon glaucopsis,Perennial,,,,,,,,
Andropogon glomeratus,Perennial,Summer,Green,5,6.3,35,70,Intolerant,-23
Andropogon glomeratus var. glomeratus,Perennial,,,,,,,,
Andropogon glomeratus var. hirsutior,Perennial,,,,,,,,
Andropogon gyrans,Perennial,,,,,,,,
Andropogon gyrans var. gyrans,Perennial,,,,,,,,
Andropogon ternarius,Perennial,Summer,Green,4,7.5,20,60,Tolerant,-18
Andropogon ternarius var. ternarius,Perennial,,,,,,,,
Andropogon virginicus,Perennial,Summer,Green,4.9,7,30,45,Intolerant,-18
Andropogon virginicus var. virginicus,Perennial,,,,,,,,
Anemone,,,,,,,,,
Anemone canadensis,Perennial,,,,,,,,
Anemone lancifolia,Perennial,,,,,,,,
Anemone quinquefolia,Perennial,,,,,,,,
Anemone quinquefolia var. quinquefolia,Perennial,,,,,,,,
Anemone virginiana,Perennial,,,,,,,,
Anemone virginiana var. virginiana,Perennial,,,,,,,,
Anethum,,,,,,,,,
Anethum graveolens,Annual,,,,,,,,
Angelica,,,,,,,,,
Angelica atropurpurea,Perennial,,,,,,,,
Angelica triquinata,Perennial,,,,,,,,
Angelica venenosa,Perennial,,,,,,,,
Antennaria,,,,,,,,,
Antennaria howellii,Perennial,,,,,,,,
Antennaria howellii ssp. neodioica,Perennial,,,,,,,,
Antennaria neglecta,Perennial,Spring and Summer,Dark Green,5.5,7.5,11,60,Intolerant,-38
Antennaria parlinii,Perennial,,,,,,,,
Antennaria parlinii ssp. fallax,Perennial,,,,,,,,
Antennaria parlinii ssp. parlinii,Perennial,,,,,,,,
Antennaria plantaginifolia,Perennial,,,,,,,,
Antennaria solitaria,Perennial,,,,,,,,
Antennaria virginica,Perennial,,,,,,,,
Anthemis,,,,,,,,,
Anthemis arvensis,Annual,,,,,,,,
Anthemis cotula,Annual,,,,,,,,
Anthemis tinctoria,Perennial,,,,,,,,
Anthoxanthum,,,,,,,,,
Anthoxanthum odoratum,Perennial,,,,,,,,
Anthoxanthum odoratum ssp. odoratum,Perennial,,,,,,,,
Anthriscus,,,,,,,,,
Anthriscus sylvestris,"Annual, Biennial",,,,,,,,
Apera,,,,,,,,,
Apera spica-venti,Annual,,,,,,,,
Aphanes,,,,,,,,,
Aphanes microcarpa,Annual,,,,,,,,
Apios,,,,,,,,,
Apios americana,Perennial,Spring and Summer,Green,6,7.5,28,55,Tolerant,-23
Aplectrum,,,,,,,,,
Aplectrum hyemale,Perennial,,,,,,,,
Apluda,,,,,,,,,
Apluda mutica,Perennial,,,,,,,,
Apocynum,,,,,,,,,
Apocynum androsaemifolium,Perennial,,,,,,,,
Apocynum cannabinum,Perennial,Spring and Summer,Green,4.5,7,15,60,Intermediate,-43
Apocynum ?floribundum,Perennial,,,,,,,,
Aquilegia,,,,,,,,,
Aquilegia canadensis,Perennial,,,,,,,,
Aquilegia vulgaris,Perennial,,,,,,,,
Arabidopsis,,,,,,,,,
Arabidopsis thaliana,Annual,,,,,,,,
Arabis,,,,,,,,,
Arabis canadensis,Biennial,,,,,,,,
Arabis glabra,"Annual, Biennial, Perennial",,,,,,,,
Arabis hirsuta,"Annual, Biennial, Perennial",,,,,,,,
Arabis hirsuta var. pycnocarpa,"Annual, Biennial, Perennial",,,,,,,,
Arabis laevigata,Biennial,,,,,,,,
Arabis laevigata var. burkii,Biennial,,,,,,,,
Arabis laevigata var. laevigata,Biennial,,,,,,,,
Arabis lyrata,"Biennial, Perennial",,,,,,,,
Arabis missouriensis,Perennial,,,,,,,,
Arabis patens,Biennial,,,,,,,,
Arabis shortii,"Biennial, Perennial",,,,,,,,
Aralia,,,,,,,,,
Aralia hispida,Perennial,,,,,,,,
Aralia nudicaulis,Perennial,Spring and Summer,Dark Green,5,7.2,32,50,Tolerant,-38
Aralia racemosa,Perennial,,,,,,,,
Aralia racemosa ssp. racemosa,Perennial,,,,,,,,
Aralia spinosa,Perennial,Spring and Summer,Green,4.8,6.6,35,80,Intolerant,-25
Arctium,,,,,,,,,
Arctium lappa,Biennial,,,,,,,,
Arctium minus,Biennial,,,,,,,,
Arctium tomentosum,Biennial,,,,,,,,
Arctostaphylos,,,,,,,,,
Arctostaphylos uva-ursi,Perennial,Spring and Summer,Dark Green,5.5,8,14,45,Intermediate,-33
Arenaria,,,,,,,,,
Arenaria serpyllifolia,Annual,,,,,,,,
Arethusa,,,,,,,,,
Arethusa bulbosa,Perennial,,,,,,,,
Argemone,,,,,,,,,
Argemone albiflora,"Annual, Biennial",,,,,,,,
Argemone albiflora ssp. albiflora,"Annual, Biennial",,,,,,,,
Argemone mexicana,Annual,,,,,,,,
Argentina,,,,,,,,,
Argentina anserina,Perennial,Spring and Summer,Green,7,8,11,40,Tolerant,-23
Arisaema,,,,,,,,,
Arisaema dracontium,Perennial,,,,,,,,
Arisaema triphyllum,Perennial,Spring and Summer,Green,4.8,7,34,50,Tolerant,-18
Arisaema triphyllum ssp. pusillum,Perennial,,,,,,,,
Arisaema triphyllum ssp. stewardsonii,Perennial,,,,,,,,
Arisaema triphyllum ssp. triphyllum,Perennial,,,,,,,,
Aristida,,,,,,,,,
Aristida adscensionis,Annual,,,,,,,,
Aristida dichotoma,Annual,,,,,,,,
Aristida dichotoma var. curtissii,Annual,,,,,,,,
Aristida dichotoma var. dichotoma,Annual,,,,,,,,
Aristida lanosa,Perennial,,,,,,,,
Aristida longespica,Annual,,,,,,,,
Aristida longespica var. geniculata,Annual,,,,,,,,
Aristida longespica var. longespica,Annual,,,,,,,,
Aristida oligantha,Annual,,,,,,,,
Aristida purpurascens,Perennial,,,,,,,,
Aristida purpurascens var. purpurascens,Perennial,,,,,,,,
Aristida purpurascens var. virgata,Perennial,,,,,,,,
Aristida tuberculosa,Annual,,,,,,,,
Aristolochia,,,,,,,,,
Aristolochia clematitis,Perennial,,,,,,,,
Aristolochia macrophylla,Perennial,,,,,,,,
Aristolochia serpentaria,Perennial,,,,,,,,
Armoracia,,,,,,,,,
Armoracia rusticana,Perennial,,,,,,,,
Arnica,,,,,,,,,
Arnica acaulis,Perennial,,,,,,,,
Arnoglossum,,,,,,,,,
Arnoglossum atriplicifolium,Perennial,,,,,,,,
Arnoglossum reniforme,Perennial,,,,,,,,
Arrhenatherum,,,,,,,,,
Arrhenatherum elatius,Perennial,Spring,Green,5,7,32,50,Intermediate,-38
Arrhenatherum elatius var. bulbosum,Perennial,,,,,,,,
Arrhenatherum elatius var. elatius,Perennial,,,,,,,,
Artemisia,,,,,,,,,
Artemisia abrotanum,Perennial,,,,,,,,
Artemisia absinthium,Perennial,,,,,,,,
Artemisia annua,Annual,,,,,,,,
Artemisia biennis,"Annual, Biennial",,,,,,,,
Artemisia biennis var. biennis,"Annual, Biennial",,,,,,,,
Artemisia ludoviciana,Perennial,Spring and Summer,White-Gray,6,9,10,60,Intolerant,-33
Artemisia ludoviciana ssp. ludoviciana,Perennial,,,,,,,,
Artemisia pontica,Perennial,,,,,,,,
Artemisia scoparia,Biennial,,,,,,,,
Artemisia stelleriana,Perennial,,,,,,,,
Artemisia vulgaris,Perennial,,,,,,,,
Arthraxon,,,,,,,,,
Arthraxon hispidus,Annual,,,,,,,,
Aruncus,,,,,,,,,
Aruncus dioicus,Perennial,,,,,,,,
Aruncus dioicus var. dioicus,Perennial,,,,,,,,
Aruncus dioicus var. pubescens,Perennial,,,,,,,,
Arundinaria,,,,,,,,,
Arundinaria gigantea,Perennial,Spring,Dark Green,5,6.9,24,100,Intolerant,-23
Arundinaria tecta,Perennial,,,,,,,,
Arundo,,,,,,,,,
Arundo donax,Perennial,"Spring, Summer, Fall",Green,4.8,7,35,65,Intermediate,7
Asarum,,,,,,,,,
Asarum canadense,Perennial,,,,,,,,
Asclepias,,,,,,,,,
Asclepias amplexicaulis,Perennial,,,,,,,,
Asclepias exaltata,Perennial,,,,,,,,
Asclepias incarnata,Perennial,Spring,Green,5,8,15,65,Intolerant,-38
Asclepias incarnata ssp. incarnata,Perennial,,,,,,,,
Asclepias incarnata ssp. pulchra,Perennial,,,,,,,,
Asclepias lanceolata,Perennial,,,,,,,,
Asclepias linearis,Perennial,,,,,,,,
Asclepias longifolia,Perennial,,,,,,,,
Asclepias purpurascens,Perennial,,,,,,,,
Asclepias quadrifolia,Perennial,,,,,,,,
Asclepias rubra,Perennial,,,,,,,,
Asclepias syriaca,Perennial,,,,,,,,
Asclepias tuberosa,Perennial,Spring and Summer,Green,4.8,6.8,28,45,Intolerant,-33
Asclepias tuberosa ssp. tuberosa,Perennial,,,,,,,,
Asclepias variegata,Perennial,,,,,,,,
Asclepias verticillata,Perennial,,,,,,,,
Asclepias viridiflora,Perennial,,,,,,,,
Asimina,,,,,,,,,
Asimina triloba,Perennial,Spring and Summer,Dark Green,4.7,7.2,36,80,Tolerant,-27
Asparagus,,,,,,,,,
Asparagus officinalis,Perennial,,,,,,,,
Asperugo,,,,,,,,,
Asperugo procumbens,Annual,,,,,,,,
Asperula,,,,,,,,,
Asperula arvensis,Annual,,,,,,,,
Aspicilia,,,,,,,,,
Asplenium,,,,,,,,,
Asplenium bradleyi,Perennial,,,,,,,,
Asplenium ?ebenoides,Perennial,,,,,,,,
Asplenium ?gravesii,Perennial,,,,,,,,
Asplenium montanum,Perennial,,,,,,,,
Asplenium ?morganii,Perennial,,,,,,,,
Asplenium pinnatifidum,Perennial,,,,,,,,
Asplenium platyneuron,Perennial,,,,,,,,
Asplenium platyneuron var. platyneuron,Perennial,,,,,,,,
Asplenium resiliens,Perennial,,,,,,,,
Asplenium rhizophyllum,Perennial,,,,,,,,
Asplenium ruta-muraria,Perennial,,,,,,,,
Asplenium ruta-muraria var. cryptolepis,Perennial,,,,,,,,
Asplenium ruta-muraria var. lanceolum,Perennial,,,,,,,,
Asplenium scolopendrium,Perennial,,,,,,,,
Asplenium scolopendrium var. americanum,Perennial,,,,,,,,
Asplenium trichomanes,Perennial,,,,,,,,
Asplenium trichomanes ssp. quadrivalens,Perennial,,,,,,,,
Asplenium trichomanes ssp. trichomanes,Perennial,,,,,,,,
Asplenium ?trudellii,Perennial,,,,,,,,
Asplenium ?virginicum,Perennial,,,,,,,,
Astilbe,,,,,,,,,
Astilbe biternata,Perennial,,,,,,,,
Astragalus,,,,,,,,,
Astragalus canadensis,Perennial,"Spring, Summer, Fall",Green,6,8,20,50,Intolerant,-38
Astragalus canadensis var. canadensis,Perennial,,,,,,,,
Astragalus distortus,Perennial,,,,,,,,
Astragalus distortus var. distortus,Perennial,,,,,,,,
Astragalus hamosus,Annual,,,,,,,,
Athyrium,,,,,,,,,
Athyrium filix-femina,Perennial,"Spring, Summer, Fall",Green,4.5,7,30,60,Tolerant,-38
Athyrium filix-femina ssp. angustum,Perennial,,,,,,,,
Athyrium filix-femina ssp. asplenioides,Perennial,,,,,,,,
Atriplex,,,,,,,,,
Atriplex cristata,"Annual, Perennial",,,,,,,,
Atriplex elegans,"Annual, Perennial",,,,,,,,
Atriplex elegans var. thornberi,"Annual, Perennial",,,,,,,,
Atriplex joaquiniana,Annual,,,,,,,,
Atriplex littoralis,"Annual, Perennial",,,,,,,,
Atriplex patula,Annual,,,,,,,,
Atriplex prostrata,Annual,,,,,,,,
Atriplex rosea,Annual,,,,,,,,
Aureolaria,,,,,,,,,
Aureolaria flava,Perennial,,,,,,,,
Aureolaria flava var. flava,Perennial,,,,,,,,
Aureolaria flava var. macrantha,Perennial,,,,,,,,
Aureolaria laevigata,Perennial,,,,,,,,
Aureolaria pedicularia,Annual,,,,,,,,
Aureolaria pedicularia var. intercedens,Annual,,,,,,,,
Aureolaria pedicularia var. pedicularia,Annual,,,,,,,,
Aureolaria virginica,Perennial,,,,,,,,
Avena,,,,,,,,,
Avena fatua,Annual,"Fall, Winter and Spring",Green,6,7.5,6,24,Intolerant,-23
Avena sativa,Annual,Spring and Summer,Green,5.3,8.5,25,100,Intolerant,-23
Axonopus,,,,,,,,,
Axonopus furcatus,Perennial,,,,,,,,
Azolla,,,,,,,,,
Azolla caroliniana,Annual,,,,,,,,
Baccharis,,,,,,,,,
Baccharis halimifolia,Perennial,"Spring, Summer, Fall",Dark Green,5.5,7.8,36,60,Intermediate,-3
Bacidia,,,,,,,,,
Bacopa,,,,,,,,,
Bacopa caroliniana,Perennial,,,,,,,,
Bacopa innominata,Perennial,,,,,,,,
Bacopa monnieri,Perennial,,,,,,,,
Bacopa rotundifolia,Perennial,"Spring, Summer, Fall",Green,5.4,7.8,24,65,Intolerant,-33
Bahia,,,,,,,,,
Bahia schaffneri,Annual,,,,,,,,
Ballota,,,,,,,,,
Ballota nigra,Perennial,,,,,,,,
Ballota nigra var. nigra,Perennial,,,,,,,,
Baptisia,,,,,,,,,
Baptisia australis,Perennial,,,,,,,,
Baptisia australis var. australis,Perennial,,,,,,,,
Baptisia tinctoria,Perennial,Summer,Gray-Green,5.8,7,35,60,Intolerant,2
Barbarea,,,,,,,,,
Barbarea verna,"Biennial, Perennial",,,,,,,,
Barbarea vulgaris,Biennial,,,,,,,,
Bartonia,,,,,,,,,
Bartonia paniculata,"Annual, Biennial",,,,,,,,
Bartonia paniculata ssp. paniculata,"Annual, Biennial",,,,,,,,
Bartonia virginica,Annual,,,,,,,,
Bassia,,,,,,,,,
Bassia hirsuta,Annual,,,,,,,,
Belamcanda,,,,,,,,,
Belamcanda chinensis,Perennial,,,,,,,,
Bellis,,,,,,,,,
Bellis perennis,Perennial,,,,,,,,
Berberis,,,,,,,,,
Berberis canadensis,Perennial,,,,,,,,
Berberis thunbergii,Perennial,Spring and Summer,Dark Green,5.5,7.2,30,60,Intolerant,-28
Berberis vulgaris,Perennial,,,,,,,,
Berchemia,,,,,,,,,
Berchemia scandens,Perennial,,,,,,,,
Berteroa,,,,,,,,,
Berteroa incana,"Annual, Biennial, Perennial",,,,,,,,
Betula,,,,,,,,,
Betula alleghaniensis,Perennial,Spring and Summer,Green,4,8,25,80,Intermediate,-47
Betula alleghaniensis var. alleghaniensis,Perennial,,,,,,,,
Betula alleghaniensis var. macrolepis,Perennial,,,,,,,,
Betula lenta,Perennial,Spring and Summer,Green,3.6,6.8,29,80,Intolerant,-26
Betula nigra,Perennial,Spring and Summer,Green,3,6.5,30,80,Intolerant,-31
Betula papyrifera,Perennial,Spring and Summer,Green,4.2,7.4,12,60,Intolerant,-62
Betula papyrifera var. papyrifera,Perennial,,,,,,,,
Betula populifolia,Perennial,Spring and Summer,Green,3.5,6.5,36,65,Intermediate,-35
Betula pubescens,Perennial,,,,,,,,
Betula pubescens ssp. pubescens,Perennial,,,,,,,,
Bidens,,,,,,,,,
Bidens aristosa,"Annual, Biennial","Spring, Summer, Fall",Green,5,7,22,55,Intermediate,52
Bidens beckii,Perennial,,,,,,,,
Bidens bidentoides,Annual,,,,,,,,
Bidens bipinnata,Annual,,,,,,,,
Bidens cernua,Annual,"Spring, Summer, Fall",Green,5.1,7,32,55,Intermediate,47
